City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
407,Narsaq,GL,21.42,clear sky,60.9167,-46.05,Sleep In Narsaq
417,Petropavlovsk-Kamchatskiy,RU,34.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
421,Ostrovnoy,RU,34.48,overcast clouds,68.0531,39.5131,
425,Stony Plain,CA,41.72,broken clouds,53.5334,-114.0021,Travelodge by Wyndham Stony Plain
426,Fort Nelson,CA,22.59,light snow,58.8053,-122.7002,The Fort Nelson Hotel
428,Nikolsk,RU,30.15,overcast clouds,53.7189,46.0712,Гостиница Центральная
434,Troitsko-Pechorsk,RU,30.11,light snow,62.7084,56.1964,Pechora Gostinitsa
436,Vardo,NO,33.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
437,Mukhen,RU,43.02,overcast clouds,48.1,136.1,
472,Genhe,CN,21.51,overcast clouds,50.7833,121.5167,Companionship Hotel
475,Viedma,AR,44.28,clear sky,-40.8135,-62.9967,Hotel Cristal
477,Kajaani,FI,35.65,overcast clouds,64.2273,27.7285,Original Sokos Hotel Valjus
479,Tekeli,KZ,35.28,clear sky,44.83,78.8239,Vuslat Tekeli
485,Kachug,RU,19.11,clear sky,53.9606,105.8817,"The hotel ""Empire"""
491,Apastovo,RU,32.5,overcast clouds,55.2029,48.5109,Avtovokzal
492,Kazachinskoye,RU,23.11,few clouds,57.6953,93.2761,"Tayga, Gostinitsa"
503,Changji,CN,39.99,light rain,44.0167,87.3167,Lvye Holiday Resort
504,Lensk,RU,18.05,few clouds,60.7253,114.9278,ТинОрС
517,Ercis,TR,42.93,clear sky,39.0287,43.3586,Erciş Elit Otel
534,Aksay,RU,36.25,clear sky,47.26,39.87,Chernaya Zhemchuzhina
542,Yumen,CN,41.5,overcast clouds,40.2833,97.2,
544,Beringovskiy,RU,30.92,snow,63.05,179.3167,
546,Uhlove,UA,44.46,clear sky,44.8215,33.6045,Tavryda
553,Novoagansk,RU,27.01,overcast clouds,61.9449,76.6625,
555,Ekibastuz,KZ,33.15,overcast clouds,51.6667,75.3667,
570,Yerbogachen,RU,20.48,light snow,61.2767,108.0108,
573,Yarensk,RU,28.29,scattered clouds,62.1675,49.0916,Outskirts hotel
574,Firovo,RU,29.55,broken clouds,57.4814,33.7021,Tri Medvedya
578,Igrim,RU,29.08,light snow,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
