City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Hami,CN,42.8,93.45,42.62,20,100,5.48,overcast clouds
80,Te Anau,NZ,-45.4167,167.7167,64.85,44,100,8.66,overcast clouds
81,Piterka,RU,50.6803,47.4454,32.85,76,100,12.55,overcast clouds
82,Guajara,BR,-2.9667,-57.6667,80.35,70,84,3.02,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,9.3,65,100,7.36,overcast clouds
84,Katsuura,JP,35.1333,140.3,63.52,73,100,9.62,light rain
85,High Level,CA,58.5169,-117.136,30.31,93,100,4.61,overcast clouds
86,Mahebourg,MU,-20.4081,57.7,72.25,83,75,4.61,broken clouds
87,Salinopolis,BR,-0.6136,-47.3561,80.82,78,100,13.13,overcast clouds
88,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,2.3,broken clouds
89,Torbay,CA,47.6666,-52.7314,51.58,84,69,5.01,broken clouds
90,Saint George,US,37.1041,-113.5841,67.95,26,0,5.75,clear sky
91,Rudkobing,DK,54.9364,10.7102,56.17,95,51,18.16,broken clouds
92,Togitsu,JP,32.8333,129.85,63.99,72,75,6.91,broken clouds
93,Butaritari,KI,3.0707,172.7902,81.25,74,84,11.25,broken clouds
94,Yellowknife,CA,62.456,-114.3525,16.32,86,100,9.22,light snow
95,Lorengau,PG,-2.0226,147.2712,86.52,61,65,6.31,broken clouds
96,Pella,RU,59.7775,30.8181,37.45,83,100,4.25,light snow
97,Klaksvik,FO,62.2266,-6.589,47.32,83,100,21.14,overcast clouds
98,Santa Maria,BR,-29.6842,-53.8069,49.3,100,75,2.3,broken clouds
99,Kuusamo,FI,65.9667,29.1833,24.84,100,0,2.3,light snow
100,Cayenne,GF,4.9333,-52.3333,80.64,83,0,6.91,clear sky
101,Makakilo City,US,21.3469,-158.0858,84.56,60,20,18.41,few clouds
102,Ouadda,CF,8.0777,22.4007,68.81,73,100,4.07,overcast clouds
103,Sao Filipe,CV,14.8961,-24.4956,79.7,71,100,5.53,overcast clouds
104,New Norfolk,AU,-42.7826,147.0587,54.72,58,100,7.0,overcast clouds
105,Mahibadhoo,MV,3.7833,72.9667,81.12,73,100,9.35,overcast clouds
106,Half Moon Bay,US,37.4636,-122.4286,66.02,80,100,11.5,mist
107,Tsiroanomandidy,MG,-18.7667,46.0333,69.89,70,46,2.8,scattered clouds
108,Thompson,CA,55.7435,-97.8558,28.38,68,65,13.91,broken clouds
109,Albany,US,42.6001,-73.9662,59.72,73,100,0.76,overcast clouds
110,Sterling,US,39.0062,-77.4286,60.89,93,100,5.01,light rain
111,Hobart,AU,-42.8794,147.3294,58.26,53,75,9.22,broken clouds
112,Atambua,ID,-9.1061,124.8925,83.26,66,100,0.76,overcast clouds
113,Lagoa,PT,39.05,-27.9833,61.81,58,48,1.72,scattered clouds
114,Labrea,BR,-7.2586,-64.7981,76.73,84,48,1.23,scattered clouds
115,Lembang,ID,-6.8117,107.6175,69.87,74,100,1.16,overcast clouds
